feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_In_Sample_R2,estimate_R2_Holdout,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_In_Sample_R2,ci_lower_R2_Holdout,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_In_Sample_R2,ci_upper_R2_Holdout,ci_upper_AUC,evaluation_set,estimate_F1_Score,estimate_Accuracy,ci_lower_F1_Score,ci_lower_Accuracy,ci_upper_F1_Score,ci_upper_Accuracy,threshold_F1_Score,threshold_Accuracy,selection_set
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_300,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.413527204,0.127966783,-0.031100897,-0.018919453,0.710508825,0.410062196,0.126864141,-0.034976435,-0.023048634,0.707811841,0.416856283,0.129024406,-0.027200455,-0.01480974,0.713246826,evaluation_selection_50_percent_split,0.370628999,0.854814112,0.367041985,0.853318099,0.37404084,0.856339295,0.104800395,0.764800395,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_300,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.411469337,0.127186473,-0.031333086,-0.019757184,0.710195683,0.408006757,0.126045333,-0.035228767,-0.023816603,0.707400938,0.414951426,0.128286074,-0.027314185,-0.015500116,0.7130636,evaluation_test_50_percent_split,0.367300813,0.855917966,0.363523425,0.854295954,0.371016287,0.857506088,0.104800395,0.764800395,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_300,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.413479666,0.127986502,-0.033000545,-0.020960398,0.709770737,0.412115111,0.127543061,-0.034565047,-0.022648343,0.708579785,0.414842961,0.128433408,-0.031435297,-0.019288158,0.710947833,official_holdout_set,0.36914039,0.855108706,0.367728769,0.85450452,0.370585371,0.855714451,0.104800395,0.764800395,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_3000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.366074115,0.113228261,0.087655728,0.087968052,0.746832665,0.363246285,0.112249599,0.084856323,0.085110213,0.744174514,0.36870527,0.114145606,0.090444605,0.090769807,0.749421405,evaluation_selection_50_percent_split,0.383691587,0.854814112,0.379814388,0.853318099,0.387595911,0.856339295,0.200857968,0.560857968,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_3000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.363983923,0.112599259,0.086952104,0.087169176,0.747144997,0.361238125,0.111633901,0.084075591,0.084252203,0.74444384,0.366807688,0.113580457,0.089750792,0.090019647,0.749915422,evaluation_test_50_percent_split,0.381571791,0.855917966,0.377452757,0.854295954,0.38539608,0.857506088,0.200857968,0.560857968,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_3000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.365682855,0.113142359,0.086809028,0.087094517,0.746540368,0.364581146,0.112763746,0.085675177,0.085948705,0.745459777,0.366759136,0.113508894,0.087914608,0.088218667,0.747643386,official_holdout_set,0.382867962,0.855108706,0.381174309,0.85450452,0.384521863,0.855714451,0.200857968,0.560857968,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_500,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.378329872,0.115905344,0.066084959,0.068846738,0.733177262,0.37518043,0.114875841,0.062865842,0.065638506,0.73047877,0.381203949,0.11685299,0.069171105,0.072026265,0.735891365,evaluation_selection_50_percent_split,0.381624413,0.854814112,0.37795489,0.853318099,0.385168832,0.856339295,0.125193781,0.505193781,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_500,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.376927555,0.115369747,0.064486701,0.066960433,0.73240036,0.373818469,0.114345148,0.061389719,0.063683073,0.729777105,0.380042845,0.116389488,0.067530658,0.07016563,0.735187852,evaluation_test_50_percent_split,0.379190161,0.855917966,0.375467917,0.854295954,0.382876872,0.857506088,0.125193781,0.505193781,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_500,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.378346615,0.115842109,0.065018889,0.067704317,0.73215333,0.377122332,0.115445494,0.063775972,0.06641595,0.731060696,0.379539121,0.116244424,0.066296286,0.069025691,0.733288964,official_holdout_set,0.380698014,0.855108706,0.379199088,0.85450452,0.382190676,0.855714451,0.125193781,0.505193781,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_5000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.368321813,0.113202852,0.087860465,0.088714685,0.745242591,0.365392974,0.112205294,0.085136029,0.085912631,0.74242423,0.37109029,0.114146843,0.090379541,0.091290876,0.747920254,evaluation_selection_50_percent_split,0.386994838,0.854814112,0.383212716,0.853318099,0.390708045,0.856339295,0.180458837,0.570458837,evaluation_selection_50_percent_split
