feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_In_Sample_R2,estimate_R2_Holdout,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_In_Sample_R2,ci_lower_R2_Holdout,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_In_Sample_R2,ci_upper_R2_Holdout,ci_upper_AUC,evaluation_set,estimate_F1_Score,estimate_Accuracy,ci_lower_F1_Score,ci_lower_Accuracy,ci_upper_F1_Score,ci_upper_Accuracy,threshold_F1_Score,threshold_Accuracy,selection_set
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.263839285382026,0.0806453337680203,0.345585377821237,0.345587669751501,0.891711582273304,0.261331956530537,0.0798009662201773,0.340585770348417,0.340602016188004,0.889919301438112,0.266158977473704,0.0814374889070061,0.350564572273206,0.350565417104208,0.893536249279014,evaluation_selection_50_percent_split,0.589527598370029,0.889149790122441,0.584783655746911,0.887822986313175,0.59400808302912,0.890524887556948,0.320067141067789,0.510067141067789,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_3000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.263993336280996,0.0806913809188226,0.345211717903338,0.34521450186431,0.891594368825068,0.261610710360671,0.0798430158753422,0.340246326091105,0.340247459773674,0.88986347877439,0.266310084500599,0.0814946944183452,0.350056780385236,0.35005953727418,0.893416197565669,evaluation_selection_50_percent_split,0.590395522952431,0.889101375460544,0.586144308114956,0.887808340877951,0.594632476303261,0.89049099729362,0.280080728670086,0.520080728670086,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_2000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.264383705651265,0.0807833944709854,0.34446505332697,0.344468060257893,0.891215640464646,0.262029255793641,0.0799493036862642,0.339589021492022,0.339601318313606,0.889479654986157,0.266726580271299,0.0815789840285227,0.349304084528031,0.349304646466489,0.893036866220372,evaluation_selection_50_percent_split,0.59001763063049,0.888965814407235,0.585462812486225,0.887600520941762,0.59448864418176,0.890394046933173,0.300093048763534,0.490093048763534,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.2657898747553,0.0811556102009008,0.341444625425186,0.34144870609534,0.88969795874351,0.263315679966965,0.0802935936757367,0.336487373757146,0.336488014233259,0.887919180042231,0.268086836658558,0.0819416193479087,0.346314057702729,0.346324942941829,0.891515420211136,evaluation_selection_50_percent_split,0.588349424862568,0.88838967993067,0.583697445021151,0.887014582496163,0.592675823141079,0.889779180727091,0.290189131724428,0.500189131724428,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.265947494820727,0.0812738223916368,0.344025334513649,0.344025744220573,0.890439670884961,0.264971984086992,0.0809481307327052,0.342029691115293,0.342029914655419,0.889678212611586,0.266942489494209,0.081607402831124,0.346075061324868,0.346076000423045,0.891201280390811,official_holdout_set,0.589710199071356,0.887897489802347,0.587920696275072,0.887340293462408,0.591495692420743,0.888434440653589,0.320067141067789,0.510067141067789,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_3000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.266100062875818,0.0813023475526312,0.343795103150209,0.343795339605749,0.890377729846914,0.265118254889141,0.0809786115486558,0.341800937509763,0.34180157374757,0.889623736876615,0.26711086237963,0.0816420467720936,0.345943743558479,0.345947566143692,0.891139821162275,official_holdout_set,0.591123587894844,0.887644016283852,0.589398479732887,0.887092508926236,0.592893948260025,0.888172038874578,0.280080728670086,0.520080728670086,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_800000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.266169008661995,0.0812454521974848,0.340715582422903,0.340722369525844,0.889270779406149,0.263720653108842,0.0803731419936149,0.335907870880191,0.33592655207282,0.887483056365649,0.268474902025474,0.0820335692807032,0.345675841160776,0.34568747954277,0.891107831010082,evaluation_selection_50_percent_split,0.587082405345212,0.888549448314928,0.582636726765322,0.887227607008506,0.591582722363785,0.889953473509918,0.290124288398092,0.500124288398092,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_2000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.266398170665778,0.0813985412833808,0.34301870739948,0.343018885549209,0.890035218314677,0.265422714661143,0.0810728428797053,0.341048606947098,0.341048682947998,0.889259963281316,0.267404933984763,0.08173272671909,0.345149634892931,0.345149904372746,0.890797456807244,official_holdout_set,0.590671645650802,0.887702323291301,0.58892573601726,0.887155674850973,0.592476489920447,0.888252251500798,0.300093048763534,0.490093048763534,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,training_set,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.267293076886476,0.0817484930935096,0.341779734831355,0.341782321749015,0.88984589529333,0.264907177345862,0.0809431561897708,0.336676155847211,0.336676329396618,0.887999570762307,0.269708178401026,0.0825770129560243,0.346769160930002,0.346772511494806,0.891695006729936,evaluation_test_50_percent_split,0.588459704339533,0.887431069625125,0.583949219302989,0.88609966642298,0.593083991653718,0.888762593863926,0.320067141067789,0.510067141067789,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_1000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.267408334167548,0.0816550227037183,0.340948602795582,0.340948622779921,0.888977244497275,0.266454427894887,0.0813288118627607,0.338931970742558,0.338933430484407,0.888179453612445,0.268428343974158,0.0819927449521816,0.34302242630791,0.343022475161528,0.889744990889656,official_holdout_set,0.589387221681943,0.887376775833041,0.587617581573359,0.886812189889727,0.591164357800883,0.887904170813618,0.290189131724428,0.500189131724428,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_3000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.267661637633126,0.0818444716899023,0.341006937012368,0.341009054806476,0.88947705881627,0.265306595198757,0.0810490694738052,0.335847738543932,0.335850546315097,0.887611924956893,0.270065957657614,0.0826614935217472,0.346091012004903,0.346092834170963,0.891295405967483,evaluation_test_50_percent_split,0.589258235601703,0.887082484059473,0.584802784174749,0.885658850926415,0.593687416795667,0.888394642433515,0.280080728670086,0.520080728670086,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_2000000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.267941401772735,0.0819295930289913,0.340321559358708,0.340323495602883,0.889206078505497,0.265562911771038,0.0811443986714066,0.33527390304351,0.335274295990123,0.887342106925564,0.27029884264141,0.0827526144805055,0.34548456110969,0.345488433865211,0.890981223459001,evaluation_test_50_percent_split,0.589549249776628,0.886917874209025,0.584973325658033,0.88552801030264,0.594101659952468,0.888283288711153,0.300093048763534,0.490093048763534,evaluation_selection_50_percent_split
without_leakage,pmt_train_and_evaluation_samples_seed_1_241016_with_holdout.csv,train_sample_n_400000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.267960889722559,0.0817804984294476,0.336373829944759,0.336388827452296,0.887477743277673,0.265522211103354,0.0809285765879784,0.331332831403481,0.331365122360699,0.885604828417505,0.270245584355212,0.0825633494571895,0.341233322363433,0.341265753855254,0.889310471530162,evaluation_selection_50_percent_split,0.58514792714549,0.887769972258399,0.580639100244804,0.886462655350546,0.589596318910278,0.889150153232405,0.300210035103792,0.500210035103792,evaluation_selection_50_percent_split
